Date,Year,State,Age,Gender,Race,Armed,Threat Level,Flee,Longitude,Latitude
2015-02-02,2015,CA,42.0,Male,White,gun,Attack,Not fleeing,-117.177,34.417
2015-02-02,2015,MI,17.0,Male,White,gun,Attack,Not fleeing,-83.873,43.599
2015-02-02,2015,PA,59.0,Male,White,unarmed,Other,Foot,-76.713,40.273
2015-02-03,2015,MO,23.0,Male,Black,gun,Attack,Foot,-90.21,38.75
2015-02-03,2015,CA,38.0,Female,Black,gun,Attack,Car,-122.284,37.827
2015-02-03,2015,CA,29.0,Male,Black,knife,Other,Not fleeing,-121.818,37.999
2015-02-03,2015,GA,45.0,Male,White,gun,Attack,Not fleeing,-82.845,31.523
2015-02-04,2015,FL,28.0,Male,Black,unarmed,Attack,Not fleeing,-84.33,30.466
2015-02-04,2015,FL,37.0,Male,Hispanic,gun,Attack,Not fleeing,-81.306,28.5
2015-02-04,2015,AZ,28.0,Male,Hispanic,gun,Attack,Car,-111.978,33.378
2015-02-04,2015,AZ,28.0,Male,Hispanic,unarmed,Other,Not fleeing,-111.978,33.378
2015-02-04,2015,TX,51.0,Male,Black,gun,Attack,Car,-97.208,31.397
2015-02-04,2015,TN,36.0,Male,Black,knife,Other,Not fleeing,-89.932,35.164
2015-02-05,2015,CA,59.0,Male,White,toy weapon,Other,Car,-117.65,33.953
2015-02-06,2015,OK,25.0,Male,Black,gun,Attack,Not fleeing,-97.515,35.404
2015-02-07,2015,CA,26.0,Male,White,toy weapon,Attack,Not fleeing,-117.057,33.994
2015-02-07,2015,NC,74.0,Male,Black,gun,Attack,Not fleeing,-81.227,35.266
2015-02-08,2015,AK,33.0,Male,White,gun,Attack,Car,-149.859,61.208
2015-02-08,2015,TX,27.0,Male,White,gun,Attack,Not fleeing,-97.891,30.244
2015-02-08,2015,NY,57.0,Male,White,gun,Attack,Not fleeing,-74.001,41.152
2015-02-08,2015,FL,46.0,Male,White,gun,Attack,Not fleeing,-81.329,28.482
2015-02-08,2015,TX,41.0,Male,White,gun,Attack,Not fleeing,-97.712,33.787
2015-02-09,2015,ME,61.0,Male,White,gun,Attack,Not fleeing,-68.104,46.159
2015-02-09,2015,TX,45.0,Male,Black,gun,Attack,Not fleeing,-96.751,32.655
2015-02-10,2015,TN,49.0,Male,Black,gun,Attack,Not fleeing,-90.054,35.025
2015-02-10,2015,CO,45.0,Male,White,gun,Attack,Car,-107.454,39.573
2015-02-10,2015,WA,35.0,Male,Hispanic,unarmed,Other,Foot,-119.101,46.228
2015-02-11,2015,CA,23.0,Male,Black,knife,Other,Not fleeing,-121.876,37.316
2015-02-11,2015,AL,46.0,Male,White,toy weapon,Attack,Foot,-85.724,32.864
2015-02-13,2015,KS,21.0,Male,Hispanic,gun,Attack,Car,-94.64,39.071
2015-02-13,2015,PA,35.0,Male,Hispanic,unarmed,Other,Not fleeing,-75.908,40.329
2015-02-13,2015,TN,27.0,Male,White,gun,Attack,Not fleeing,-88.572,35.95
2015-02-13,2015,AZ,37.0,Male,Hispanic,knife,Other,Not fleeing,-110.628,32.614
2015-02-14,2015,MD,16.0,Male,White,gun,Attack,Car,-76.44,39.299
2015-02-14,2015,TX,51.0,Male,White,gun,Attack,Not fleeing,-99.474,27.554
2015-02-15,2015,MS,34.0,Male,White,gun,Attack,Foot,-88.205,34.804
2015-02-15,2015,OR,34.0,Male,White,hatchet,Other,Not fleeing,-122.437,45.175
2015-02-15,2015,FL,25.0,Male,Black,unarmed,Other,Not fleeing,-80.208,25.951
2015-02-16,2015,AZ,56.0,Male,White,gun,Attack,Not fleeing,-111.09,32.359
2015-02-16,2015,ID,26.0,Male,White,gun,Attack,Not fleeing,-116.222,43.579
2015-02-16,2015,UT,24.0,Male,White,toy weapon,Attack,Not fleeing,-111.624,40.103
2015-02-17,2015,NC,43.0,Female,White,gun,Attack,Not fleeing,-81.169,35.229
2015-02-17,2015,MO,31.0,Male,White,unarmed,Other,Foot,-93.319,37.225
2015-02-17,2015,MI,32.0,Male,White,gun,Attack,Not fleeing,-84.701,42.514
2015-02-17,2015,MA,30.0,Male,White,toy weapon,Attack,Foot,-71.284,42.614
2015-02-18,2015,NC,20.0,Female,Black,knife,Other,Not fleeing,-80.819,35.25
2015-02-20,2015,TX,31.0,Male,Hispanic,unarmed,Other,Not fleeing,-97.1,32.874
2015-02-20,2015,AL,38.0,Male,Black,gun,Attack,Not fleeing,-86.824,33.482
2015-02-20,2015,AL,77.0,Male,Black,gun,Attack,Not fleeing,-86.724,33.564
2015-02-21,2015,NM,41.0,Male,White,gun,Attack,Not fleeing,-105.665,33.448
2015-02-21,2015,IN,51.0,Male,White,knife,Attack,Not fleeing,-85.992,39.793
2015-02-22,2015,FL,50.0,Male,White,gun,Attack,Not fleeing,-80.645,27.99
2015-02-23,2015,LA,47.0,Male,White,gun,Attack,Not fleeing,-90.956,30.455
2015-02-23,2015,GA,37.0,Male,White,knife,Other,Not fleeing,-84.695,33.911
2015-02-23,2015,GA,41.0,Male,White,gun,Attack,Foot,-83.598,34.631
